date,longitude,latitude,elevation_m,slope_degree,rainfall,temperature,soil_moisture,ndvi,evapotranspiration
2023-01-01,110.4200,-7.0300,0,7.3485,4.8771,24.0256,0.3000,0.6366,7.6983
2023-01-02,110.4200,-7.0300,0,7.3485,13.8933,24.4823,0.3000,0.5000,7.5701
2023-01-03,110.4200,-7.0300,0,7.3485,9.8703,24.1730,0.3000,0.5000,7.5756
2023-01-04,110.4200,-7.0300,0,7.3485,12.2877,24.0873,0.3000,0.5000,7.5527
2023-01-05,110.4200,-7.0300,0,7.3485,9.8674,24.2976,0.3000,0.5000,7.5846
2023-01-06,110.4200,-7.0300,0,7.3485,16.5553,24.3729,0.3000,0.5000,7.5439
2023-01-07,110.4200,-7.0300,0,7.3485,17.4580,24.5854,0.3000,0.5000,7.5584
2023-01-08,110.4200,-7.0300,0,7.3485,16.4604,24.5959,0.3000,0.5000,7.5606
2023-01-09,110.4200,-7.0300,0,7.3485,12.4129,24.5312,0.3000,0.5000,7.5839
2023-01-10,110.4200,-7.0300,0,7.3485,11.0206,24.8429,0.3000,0.5000,7.6160
2023-01-11,110.4200,-7.0300,0,7.3485,0.4138,25.0257,0.3000,0.5000,7.7023
2023-01-12,110.4200,-7.0300,0,7.3485,7.1720,25.3043,0.3000,0.5000,7.6758
2023-01-13,110.4200,-7.0300,0,7.3485,1.7978,24.9101,0.3000,0.5000,7.6844
2023-01-14,110.4200,-7.0300,0,7.3485,9.0596,25.2176,0.3000,0.5000,7.6574
2023-01-15,110.4200,-7.0300,0,7.3485,12.7409,24.7553,0.3000,0.5000,7.5978
2023-01-16,110.4200,-7.0300,0,7.3485,10.7613,24.6920,0.3000,0.5000,7.6069
2023-01-17,110.4200,-7.0300,0,7.3485,18.8986,23.9800,0.3000,0.4873,7.3781
2023-01-18,110.4200,-7.0300,0,7.3485,39.1112,23.6732,0.3000,0.5000,7.3726
2023-01-19,110.4200,-7.0300,0,7.3485,20.7686,23.7482,0.3000,0.5000,7.4697
2023-01-20,110.4200,-7.0300,0,7.3485,10.3598,24.0465,0.3000,0.5000,7.5631
2023-01-21,110.4200,-7.0300,0,7.3485,10.1307,24.3854,0.3000,0.5000,7.5891
2023-01-22,110.4200,-7.0300,0,7.3485,14.8098,24.3874,0.3000,0.5000,7.5570
2023-01-23,110.4200,-7.0300,0,7.3485,15.9312,24.8230,0.3000,0.5000,7.5952
2023-01-24,110.4200,-7.0300,0,7.3485,19.8621,24.8667,0.3000,0.5000,7.6009
2023-01-25,110.4200,-7.0300,0,7.3485,21.0443,23.8880,0.3000,0.5000,7.4779
2023-01-26,110.4200,-7.0300,0,7.3485,23.0678,24.0858,0.3000,0.5000,7.4805
2023-01-27,110.4200,-7.0300,0,7.3485,13.8478,23.5878,0.3000,0.5000,7.5059
2023-01-28,110.4200,-7.0300,0,7.3485,13.1072,23.5611,0.3000,0.5000,7.5091
2023-01-29,110.4200,-7.0300,0,7.3485,8.8046,23.9835,0.3000,0.5000,7.5692
2023-01-30,110.4200,-7.0300,0,7.3485,7.4533,24.5447,0.3000,0.5000,7.6191
2023-01-31,110.4200,-7.0300,0,7.3485,15.4964,24.5799,0.3000,0.5000,7.5661
2023-02-01,110.4200,-7.0300,0,7.3485,9.2965,24.0270,0.3000,0.5000,7.5690
2023-02-02,110.4200,-7.0300,0,7.3485,13.7028,24.2375,0.3000,0.5212,7.6981
2023-02-03,110.4200,-7.0300,0,7.3485,2.2319,24.3902,0.3000,0.5000,7.6439
2023-02-04,110.4200,-7.0300,0,7.3485,9.6446,24.5904,0.3000,0.5000,7.6072
2023-02-05,110.4200,-7.0300,0,7.3485,2.6987,24.7177,0.3000,0.5000,7.6643
2023-02-06,110.4200,-7.0300,0,7.3485,12.9115,24.6700,0.3000,0.5000,7.5904
2023-02-07,110.4200,-7.0300,0,7.3485,18.9484,23.9165,0.3000,0.5000,7.4944
2023-02-08,110.4200,-7.0300,0,7.3485,11.8899,24.6398,0.3000,0.5000,7.5953
2023-02-09,110.4200,-7.0300,0,7.3485,11.6175,24.2602,0.3000,0.5000,7.5698
2023-02-10,110.4200,-7.0300,0,7.3485,19.8649,24.4665,0.3000,0.5000,7.5396
2023-02-11,110.4200,-7.0300,0,7.3485,19.7084,23.5899,0.3000,0.5000,7.4656
2023-02-12,110.4200,-7.0300,0,7.3485,14.1256,23.3987,0.3000,0.5000,7.4903
2023-02-13,110.4200,-7.0300,0,7.3485,9.7851,24.1544,0.3000,0.5000,7.5748
2023-02-14,110.4200,-7.0300,0,7.3485,12.6415,24.2391,0.3000,0.5000,7.5612
2023-02-15,110.4200,-7.0300,0,7.3485,25.4037,23.7863,0.3000,0.5000,7.4405
2023-02-16,110.4200,-7.0300,0,7.3485,33.3322,23.5990,0.3000,0.5000,7.4033
2023-02-17,110.4200,-7.0300,0,7.3485,27.2284,23.9888,0.3000,0.5000,7.4646
2023-02-18,110.4200,-7.0300,0,7.3485,12.9699,23.8287,0.3000,0.5000,7.5293
2023-02-19,110.4200,-7.0300,0,7.3485,16.3717,24.2147,0.3000,0.5000,7.5337
2023-02-20,110.4200,-7.0300,0,7.3485,29.6008,24.2961,0.3000,0.5000,7.4981
2023-02-21,110.4200,-7.0300,0,7.3485,28.2691,24.1951,0.3000,0.5000,7.4959
2023-02-22,110.4200,-7.0300,0,7.3485,22.6890,23.8515,0.3000,0.5000,7.4639
2023-02-23,110.4200,-7.0300,0,7.3485,18.6433,24.0475,0.3000,0.5000,7.5060
2023-02-24,110.4200,-7.0300,0,7.3485,5.7030,23.6469,0.3000,0.5000,7.5663
2023-02-25,110.4200,-7.0300,0,7.3485,18.8975,24.3835,0.3000,0.5000,7.5285
2023-02-26,110.4200,-7.0300,0,7.3485,15.8961,23.6181,0.3000,0.5000,7.4939
