rainfall,evapotranspiration,reservoir,aquifer,reliability,total_supply,date
4.44703,7.7588835,1.8570528,2.031082,0.20506899,0.34747568,2024-05-02
3.9760964,7.7555556,1.857468,2.044934,0.2050714,0.34839112,2024-05-03
3.7870114,7.76781,1.855763,2.0339463,0.20533949,0.3489138,2024-05-04
4.2639565,7.753566,1.8539232,2.0482588,0.20533185,0.34886414,2024-05-05
3.6488638,7.7630033,1.8539764,2.0403986,0.20499335,0.34862083,2024-05-06
4.6209106,7.770052,1.854333,2.0390592,0.20530659,0.34893674,2024-05-07
4.9533415,7.7550554,1.8567821,2.0527399,0.20532124,0.34885666,2024-05-08
5.520179,7.746961,1.854235,2.055649,0.20520552,0.34912333,2024-05-09
5.071837,7.7392707,1.8523202,2.0553493,0.20526323,0.3494481,2024-05-10
5.37956,7.7405915,1.8566877,2.0482273,0.2051818,0.34889004,2024-05-11
6.63891,7.7523866,1.855733,2.0484238,0.20512594,0.34833091,2024-05-12
6.599469,7.7407203,1.8584638,2.0457017,0.20527759,0.34888756,2024-05-13
6.9207764,7.7383623,1.8566834,2.047549,0.20495503,0.3486499,2024-05-14
7.315009,7.716217,1.8565879,2.0542274,0.20501211,0.3487905,2024-05-15
8.162969,7.710857,1.8604811,2.0333889,0.20478848,0.34910345,2024-05-16
7.0255976,7.709964,1.8616035,2.038054,0.2049714,0.34830704,2024-05-17
8.507257,7.72475,1.8621147,2.0402894,0.20513807,0.34798458,2024-05-18
8.88066,7.7045345,1.8620538,2.0302632,0.20477046,0.34815112,2024-05-19
8.973117,7.7077084,1.861393,2.0225098,0.2047738,0.34856766,2024-05-20
8.536779,7.703373,1.8645005,2.022989,0.20489146,0.3483052,2024-05-21
9.125319,7.6990037,1.8615813,2.0193594,0.20444535,0.3481631,2024-05-22
9.089507,7.7073445,1.8626823,2.0126069,0.20429434,0.34750608,2024-05-23
8.835179,7.6995187,1.8613347,2.0121603,0.20464778,0.3474826,2024-05-24
9.360453,7.7025704,1.862954,2.0017416,0.20462124,0.3481375,2024-05-25
8.0195265,7.712575,1.861776,2.0108027,0.20487207,0.3485925,2024-05-26
8.3823,7.7154365,1.8589692,1.9990128,0.20468077,0.34788463,2024-05-27
8.487549,7.706291,1.8611956,2.0060005,0.20490173,0.34792498,2024-05-28
8.386701,7.705747,1.8564734,2.002243,0.20465475,0.34716985,2024-05-29
7.1757483,7.705377,1.860456,1.9918246,0.20481709,0.34815523,2024-05-30
6.6771293,7.706574,1.8567965,1.986611,0.20460063,0.34821576,2024-05-31
